date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:58:06	1532/1532	---M--	200	added ('OK')	image/svg+xml	etag:%226552540a-5fc%22	https://preview.keenthemes.com/keen/demo1/assets/media/svg/files/blank-image-dark.svg	C:/Clones/UI%20KITS/keen-ui-kit/preview.keenthemes.com/keen/demo1/assets/media/svg/files/blank-image-dark.svg	(from https://preview.keenthemes.com/keen/demo1/index.html)
00:58:06	1671/1671	---M--	200	added ('OK')	image/svg+xml	etag:%226552540a-687%22	https://preview.keenthemes.com/keen/demo1/assets/media/svg/files/tif.svg	C:/Clones/UI%20KITS/keen-ui-kit/preview.keenthemes.com/keen/demo1/assets/media/svg/files/tif.svg	(from https://preview.keenthemes.com/keen/demo1/index.html)
00:58:06	487/487	---M--	200	added ('OK')	image/svg+xml	etag:%226552540a-1e7%22	https://preview.keenthemes.com/keen/demo1/assets/media/svg/files/folder-document.svg	C:/Clones/UI%20KITS/keen-ui-kit/preview.keenthemes.com/keen/demo1/assets/media/svg/files/folder-document.svg	(from https://preview.keenthemes.com/keen/demo1/index.html)
00:58:06	1365/1365	---M--	200	added ('OK')	image/svg+xml	etag:%226552540a-555%22	https://preview.keenthemes.com/keen/demo1/assets/media/svg/files/ai.svg	C:/Clones/UI%20KITS/keen-ui-kit/preview.keenthemes.com/keen/demo1/assets/media/svg/files/ai.svg	(from https://preview.keenthemes.com/keen/demo1/index.html)
00:58:07	55890/55890	---M--	200	added ('OK')	image/png	etag:%226552540a-da52%22	https://preview.keenthemes.com/keen/demo1/assets/media/illustrations/sketchy-1/9.png	C:/Clones/UI%20KITS/keen-ui-kit/preview.keenthemes.com/keen/demo1/assets/media/illustrations/sketchy-1/9.png	(from https://preview.keenthemes.com/keen/demo1/index.html)
00:58:07	34871/34871	---M--	200	added ('OK')	image/jpeg	etag:%226552540a-8837%22	https://preview.keenthemes.com/keen/demo1/assets/media/avatars/300-5.jpg	C:/Clones/UI%20KITS/keen-ui-kit/preview.keenthemes.com/keen/demo1/assets/media/avatars/300-5.jpg	(from https://preview.keenthemes.com/keen/demo1/index.html)
00:58:07	46326/46326	---M--	200	added ('OK')	image/jpeg	etag:%226552540a-b4f6%22	https://preview.keenthemes.com/keen/demo1/assets/media/avatars/300-13.jpg	C:/Clones/UI%20KITS/keen-ui-kit/preview.keenthemes.com/keen/demo1/assets/media/avatars/300-13.jpg	(from https://preview.keenthemes.com/keen/demo1/index.html)
00:58:07	1203/1203	---M--	200	added ('OK')	image/svg+xml	etag:%226552540a-4b3%22	https://preview.keenthemes.com/keen/demo1/assets/media/svg/brand-logos/google-icon.svg	C:/Clones/UI%20KITS/keen-ui-kit/preview.keenthemes.com/keen/demo1/assets/media/svg/brand-logos/google-icon.svg	(from https://preview.keenthemes.com/keen/demo1/index.html)
00:58:08	99221/99221	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266abb187-18395%22	https://preview.keenthemes.com/keen/demo1/assets/js/scripts.bundle.js	C:/Clones/UI%20KITS/keen-ui-kit/preview.keenthemes.com/keen/demo1/assets/js/scripts.bundle.js	(from https://preview.keenthemes.com/keen/demo1/index.html)
00:58:08	2465514/2465514	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266a9116a-259eea%22	https://preview.keenthemes.com/keen/demo1/assets/plugins/global/plugins.bundle.js	C:/Clones/UI%20KITS/keen-ui-kit/preview.keenthemes.com/keen/demo1/assets/plugins/global/plugins.bundle.js	(from https://preview.keenthemes.com/keen/demo1/index.html)
